dataset_size,dim,n_queries,k,m,ef_construction,k_children,n_probe,mapping_ef,parent_level,recall@k,avg_query_time,base_build_time,parent_extraction_time,mapping_build_time,avg_candidate_size,coverage_fraction,parent_count,covered_points,total_points,overlap_unique_fraction,avg_assignment_count,mean_jaccard_overlap,median_jaccard_overlap,multi_coverage_fraction,max_assignment_count,timestamp
5000,128,500,10,16,400,400,5,400,2,0.67,0.002537282943725586,154.07720184326172,0.0,0.4986903667449951,2193.493013972056,1.0,13,4500,4500,1.0,1.465111111111111,0.038189209348777065,0.03762824791975815,0.32222222222222224,6.0,2025-09-12 01:24:08
5000,128,500,10,16,400,400,8,400,2,0.8462,0.00371500825881958,154.07720184326172,0.0,0.4667973518371582,3187.642714570858,1.0,13,4500,4500,1.0,1.465111111111111,0.038189209348777065,0.03762824791975815,0.32222222222222224,6.0,2025-09-12 01:24:10
5000,128,500,10,16,400,400,10,400,2,0.9282,0.003926615238189698,154.07720184326172,0.0,0.43898963928222656,3757.443113772455,1.0,13,4500,4500,1.0,1.465111111111111,0.038189209348777065,0.03762824791975815,0.32222222222222224,6.0,2025-09-12 01:24:13
5000,128,500,10,16,400,400,12,400,2,0.9818,0.004681636810302734,154.07720184326172,0.0,0.4260525703430176,4265.502994011976,1.0,13,4500,4500,1.0,1.465111111111111,0.038189209348777065,0.03762824791975815,0.32222222222222224,6.0,2025-09-12 01:24:15
