dataset_size,dim,n_queries,k,m,ef_construction,k_children,n_probe,mapping_ef,parent_level,recall@k,avg_query_time,base_build_time,parent_extraction_time,mapping_build_time,avg_candidate_size,coverage_fraction,parent_count,covered_points,total_points,overlap_unique_fraction,avg_assignment_count,mean_jaccard_overlap,median_jaccard_overlap,multi_coverage_fraction,max_assignment_count,timestamp
5000,128,500,10,16,100,500,5,80,2,0.1692,0.0005607490539550782,125.84762573242188,0.0009996891021728516,0.3762626647949219,383.7345309381237,0.3551111111111111,25,1598,4500,0.3551111111111111,1.2359198998748435,0.009420522894719108,0.006369426751592357,0.20087609511889862,4.0,2025-09-11 09:45:43
5000,128,500,10,16,100,500,8,80,2,0.2274,0.0007854804992675781,125.84762573242188,0.0009996891021728516,0.3867499828338623,596.7784431137725,0.3551111111111111,25,1598,4500,0.3551111111111111,1.2359198998748435,0.010244319115506913,0.006369426751592357,0.20087609511889862,4.0,2025-09-11 09:45:44
5000,128,500,10,16,100,500,10,80,2,0.2548,0.0014357633590698243,125.84762573242188,0.0009996891021728516,0.4033687114715576,733.0439121756488,0.3551111111111111,25,1598,4500,0.3551111111111111,1.2359198998748435,0.009333088349958257,0.006369426751592357,0.20087609511889862,4.0,2025-09-11 09:45:45
5000,128,500,10,16,100,500,12,80,2,0.28,0.0012254981994628906,125.84762573242188,0.0009996891021728516,0.47076845169067383,864.2694610778443,0.3551111111111111,25,1598,4500,0.3551111111111111,1.2359198998748435,0.010043626883143244,0.006369426751592357,0.20087609511889862,4.0,2025-09-11 09:45:46
5000,128,500,10,16,100,800,5,80,2,0.1692,0.0006102705001831054,125.84762573242188,0.0009996891021728516,0.3966038227081299,383.7345309381237,0.3551111111111111,25,1598,4500,0.3551111111111111,1.2359198998748435,0.009951415697167327,0.006369426751592357,0.20087609511889862,4.0,2025-09-11 09:45:47
5000,128,500,10,16,100,800,8,80,2,0.2274,0.0007739529609680176,125.84762573242188,0.0009996891021728516,0.3692305088043213,596.7784431137725,0.3551111111111111,25,1598,4500,0.3551111111111111,1.2359198998748435,0.009035998200054284,0.006369426751592357,0.20087609511889862,4.0,2025-09-11 09:45:48
5000,128,500,10,16,100,800,10,80,2,0.2548,0.0009905037879943848,125.84762573242188,0.0009996891021728516,0.3946406841278076,733.0439121756488,0.3551111111111111,25,1598,4500,0.3551111111111111,1.2359198998748435,0.010036795300630112,0.006369426751592357,0.20087609511889862,4.0,2025-09-11 09:45:49
5000,128,500,10,16,100,800,12,80,2,0.28,0.0011408634185791015,125.84762573242188,0.0009996891021728516,0.3652617931365967,864.2694610778443,0.3551111111111111,25,1598,4500,0.3551111111111111,1.2359198998748435,0.00972572692761125,0.006369426751592357,0.20087609511889862,4.0,2025-09-11 09:45:49
5000,128,500,10,16,100,1000,5,80,2,0.1692,0.000703598976135254,125.84762573242188,0.0009996891021728516,0.407426118850708,383.7345309381237,0.3551111111111111,25,1598,4500,0.3551111111111111,1.2359198998748435,0.009921257683138346,0.006369426751592357,0.20087609511889862,4.0,2025-09-11 09:45:50
5000,128,500,10,16,100,1000,8,80,2,0.2274,0.000858182430267334,125.84762573242188,0.0009996891021728516,0.37379884719848633,596.7784431137725,0.3551111111111111,25,1598,4500,0.3551111111111111,1.2359198998748435,0.009721440953190724,0.006369426751592357,0.20087609511889862,4.0,2025-09-11 09:45:51
